Year,Month,Day,Pollutant,Station,Concentration,Units,AveragingPeriod
January,2014,2,PM2.5,San Francisco Arkansas St,30,ug/m3,Daily average
January,2014,3,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
January,2014,4,PM2.5,San Francisco Arkansas St,27,ug/m3,Daily average
January,2014,5,PM2.5,San Francisco Arkansas St,22,ug/m3,Daily average
January,2014,6,PM2.5,San Francisco Arkansas St,38,ug/m3,Daily average
January,2014,7,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
January,2014,8,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
January,2014,9,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
January,2014,10,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
January,2014,11,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
January,2014,12,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
January,2014,13,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
January,2014,14,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
January,2014,15,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
January,2014,16,PM2.5,San Francisco Arkansas St,43,ug/m3,Daily average
January,2014,17,PM2.5,San Francisco Arkansas St,46,ug/m3,Daily average
January,2014,18,PM2.5,San Francisco Arkansas St,35,ug/m3,Daily average
January,2014,19,PM2.5,San Francisco Arkansas St,34,ug/m3,Daily average
January,2014,20,PM2.5,San Francisco Arkansas St,31,ug/m3,Daily average
January,2014,21,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
January,2014,22,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
January,2014,23,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
January,2014,24,PM2.5,San Francisco Arkansas St,40,ug/m3,Daily average
January,2014,25,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
January,2014,26,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
January,2014,27,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
January,2014,28,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
January,2014,29,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
January,2014,30,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
January,2014,31,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
February,2014,1,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
February,2014,2,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
February,2014,3,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
February,2014,4,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
February,2014,5,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
February,2014,6,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
February,2014,7,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
February,2014,8,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
February,2014,9,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
February,2014,10,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
February,2014,11,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
February,2014,12,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
February,2014,13,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
February,2014,14,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
February,2014,15,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
February,2014,16,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
February,2014,17,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
February,2014,18,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
February,2014,19,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
February,2014,20,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
February,2014,21,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
February,2014,22,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
February,2014,23,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
February,2014,24,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
February,2014,25,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
February,2014,26,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
February,2014,27,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
February,2014,28,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
March,2014,1,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
March,2014,2,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
March,2014,3,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
March,2014,4,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
March,2014,5,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
March,2014,6,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
March,2014,7,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
March,2014,8,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
March,2014,9,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
March,2014,10,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
March,2014,11,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
March,2014,12,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
March,2014,13,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
March,2014,14,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
March,2014,15,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
March,2014,16,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
March,2014,17,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
March,2014,18,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
March,2014,19,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
March,2014,20,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
March,2014,21,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
March,2014,22,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
March,2014,23,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
March,2014,24,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
March,2014,25,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
March,2014,26,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
March,2014,27,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
March,2014,28,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
March,2014,29,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
March,2014,30,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
March,2014,31,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
April,2014,1,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
April,2014,2,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
April,2014,3,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
April,2014,4,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
April,2014,5,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
April,2014,6,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
April,2014,7,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
April,2014,8,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
April,2014,9,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
April,2014,10,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
April,2014,11,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
April,2014,12,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
April,2014,13,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
April,2014,14,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
April,2014,15,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
April,2014,16,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
April,2014,17,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
April,2014,18,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
April,2014,19,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
April,2014,20,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
April,2014,21,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
April,2014,22,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
April,2014,23,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
April,2014,24,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
April,2014,25,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
April,2014,26,PM2.5,San Francisco Arkansas St,4,ug/m3,Daily average
April,2014,27,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
April,2014,28,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
April,2014,29,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
April,2014,30,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
May,2014,1,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
May,2014,2,PM2.5,San Francisco Arkansas St,435,ug/m3,Daily average
May,2014,3,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
May,2014,4,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
May,2014,5,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
May,2014,6,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
May,2014,7,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
May,2014,8,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
May,2014,9,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
May,2014,10,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
May,2014,11,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
May,2014,12,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
May,2014,13,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
May,2014,14,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
May,2014,15,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
May,2014,16,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
May,2014,17,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
May,2014,18,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
May,2014,19,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
May,2014,20,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
May,2014,21,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
May,2014,22,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
May,2014,23,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
May,2014,24,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
May,2014,25,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
May,2014,26,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
May,2014,27,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
May,2014,28,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
May,2014,29,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
May,2014,30,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
May,2014,31,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
June,2014,1,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
June,2014,2,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
June,2014,3,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
June,2014,4,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
June,2014,5,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
June,2014,6,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
June,2014,7,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
June,2014,8,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
June,2014,9,PM2.5,San Francisco Arkansas St,21,ug/m3,Daily average
June,2014,10,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
June,2014,11,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
June,2014,12,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
June,2014,13,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
June,2014,14,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
June,2014,15,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
June,2014,16,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
June,2014,17,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
June,2014,18,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
June,2014,19,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
June,2014,20,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
June,2014,21,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
June,2014,22,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
June,2014,23,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
June,2014,24,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
June,2014,25,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
June,2014,26,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
June,2014,27,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
June,2014,28,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
June,2014,29,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
June,2014,30,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
July,2014,1,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
July,2014,2,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
July,2014,3,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
July,2014,4,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
July,2014,5,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
July,2014,6,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
July,2014,7,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
July,2014,8,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
July,2014,9,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
July,2014,10,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
July,2014,11,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
July,2014,12,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
July,2014,13,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
July,2014,14,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
July,2014,15,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
July,2014,16,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
July,2014,17,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
July,2014,18,PM2.5,San Francisco Arkansas St,4,ug/m3,Daily average
July,2014,19,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
July,2014,20,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
July,2014,21,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
July,2014,22,PM2.5,San Francisco Arkansas St,3,ug/m3,Daily average
July,2014,23,PM2.5,San Francisco Arkansas St,4,ug/m3,Daily average
July,2014,24,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
July,2014,25,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
July,2014,26,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
July,2014,27,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
July,2014,28,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
July,2014,29,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
July,2014,30,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
July,2014,31,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
August,2014,1,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
August,2014,2,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
August,2014,3,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
August,2014,4,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
August,2014,5,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
August,2014,6,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
August,2014,7,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
August,2014,8,PM2.5,San Francisco Arkansas St,21,ug/m3,Daily average
August,2014,9,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
August,2014,10,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
August,2014,11,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
August,2014,12,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
August,2014,13,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
August,2014,14,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
August,2014,15,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
August,2014,16,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
August,2014,17,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
August,2014,18,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
August,2014,19,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
August,2014,20,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
August,2014,21,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
August,2014,22,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
August,2014,23,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
August,2014,24,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
August,2014,25,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
August,2014,26,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
August,2014,27,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
August,2014,28,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
August,2014,29,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
August,2014,30,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
August,2014,31,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
September,2014,1,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
September,2014,2,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
September,2014,3,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
September,2014,4,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
September,2014,5,PM2.5,San Francisco Arkansas St,32,ug/m3,Daily average
September,2014,6,PM2.5,San Francisco Arkansas St,27,ug/m3,Daily average
September,2014,7,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
September,2014,8,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
September,2014,9,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
September,2014,10,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
September,2014,11,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
September,2014,12,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
September,2014,13,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
September,2014,14,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
September,2014,15,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
September,2014,16,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
September,2014,17,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
September,2014,18,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
September,2014,19,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
September,2014,20,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
September,2014,21,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
September,2014,22,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
September,2014,23,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
September,2014,24,PM2.5,San Francisco Arkansas St,6,ug/m3,Daily average
September,2014,25,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
September,2014,26,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
September,2014,27,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
September,2014,28,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
September,2014,29,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
September,2014,30,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
October,2014,1,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
October,2014,2,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
October,2014,3,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
October,2014,4,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
October,2014,5,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
October,2014,6,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
October,2014,7,PM2.5,San Francisco Arkansas St,,ug/m3,Daily average
October,2014,8,PM2.5,San Francisco Arkansas St,,ug/m3,Daily average
October,2014,9,PM2.5,San Francisco Arkansas St,,ug/m3,Daily average
October,2014,10,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
October,2014,11,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
October,2014,12,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
October,2014,13,PM2.5,San Francisco Arkansas St,21,ug/m3,Daily average
October,2014,14,PM2.5,San Francisco Arkansas St,24,ug/m3,Daily average
October,2014,15,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
October,2014,16,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
October,2014,17,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
October,2014,18,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
October,2014,19,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
October,2014,20,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
October,2014,21,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
October,2014,22,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
October,2014,23,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
October,2014,24,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
October,2014,25,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
October,2014,26,PM2.5,San Francisco Arkansas St,16,ug/m3,Daily average
October,2014,27,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
October,2014,28,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
October,2014,29,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
October,2014,30,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
October,2014,31,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
November,2014,1,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
November,2014,2,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
November,2014,3,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
November,2014,4,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
November,2014,5,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
November,2014,6,PM2.5,San Francisco Arkansas St,30,ug/m3,Daily average
November,2014,7,PM2.5,San Francisco Arkansas St,22,ug/m3,Daily average
November,2014,8,PM2.5,San Francisco Arkansas St,24,ug/m3,Daily average
November,2014,9,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
November,2014,10,PM2.5,San Francisco Arkansas St,31,ug/m3,Daily average
November,2014,11,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
November,2014,12,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
November,2014,13,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
November,2014,14,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
November,2014,15,PM2.5,San Francisco Arkansas St,21,ug/m3,Daily average
November,2014,16,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
November,2014,17,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
November,2014,18,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
November,2014,19,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
November,2014,20,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
November,2014,21,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
November,2014,22,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
November,2014,23,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
November,2014,24,PM2.5,San Francisco Arkansas St,17,ug/m3,Daily average
November,2014,25,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
November,2014,26,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
November,2014,27,PM2.5,San Francisco Arkansas St,40,ug/m3,Daily average
November,2014,28,PM2.5,San Francisco Arkansas St,25,ug/m3,Daily average
November,2014,29,PM2.5,San Francisco Arkansas St,14,ug/m3,Daily average
November,2014,30,PM2.5,San Francisco Arkansas St,12,ug/m3,Daily average
December,2014,1,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
December,2014,2,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
December,2014,3,PM2.5,San Francisco Arkansas St,7,ug/m3,Daily average
December,2014,4,PM2.5,San Francisco Arkansas St,22,ug/m3,Daily average
December,2014,5,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
December,2014,6,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
December,2014,7,PM2.5,San Francisco Arkansas St,20,ug/m3,Daily average
December,2014,8,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
December,2014,9,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
December,2014,10,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
December,2014,11,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
December,2014,12,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
December,2014,13,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
December,2014,14,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
December,2014,15,PM2.5,San Francisco Arkansas St,10,ug/m3,Daily average
December,2014,16,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
December,2014,17,PM2.5,San Francisco Arkansas St,13,ug/m3,Daily average
December,2014,18,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
December,2014,19,PM2.5,San Francisco Arkansas St,15,ug/m3,Daily average
December,2014,20,PM2.5,San Francisco Arkansas St,29,ug/m3,Daily average
December,2014,21,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
December,2014,22,PM2.5,San Francisco Arkansas St,19,ug/m3,Daily average
December,2014,23,PM2.5,San Francisco Arkansas St,22,ug/m3,Daily average
December,2014,24,PM2.5,San Francisco Arkansas St,9,ug/m3,Daily average
December,2014,25,PM2.5,San Francisco Arkansas St,5,ug/m3,Daily average
December,2014,26,PM2.5,San Francisco Arkansas St,11,ug/m3,Daily average
December,2014,27,PM2.5,San Francisco Arkansas St,24,ug/m3,Daily average
December,2014,28,PM2.5,San Francisco Arkansas St,23,ug/m3,Daily average
December,2014,29,PM2.5,San Francisco Arkansas St,18,ug/m3,Daily average
December,2014,30,PM2.5,San Francisco Arkansas St,8,ug/m3,Daily average
December,2014,31,PM2.5,San Francisco Arkansas St,26,ug/m3,Daily average
January,2015,1,PM2.5,San Francisco Arkansas St,32,ug/m3,Daily average
January,2015,2,PM2.5,San Francisco Arkansas St,31,ug/m3,Daily average
January,2015,3,PM2.5,San Francisco Arkansas St,47,ug/m3,Daily average
