Month,Year,Day,Pollutant,Station,Concentration,Units,AveragingPeriod
January,2011,25,PM2.5,San Rafael,43,ug/m3,Daily average
January,2011,26,PM2.5,San Rafael,27,ug/m3,Daily average
January,2011,27,PM2.5,San Rafael,29,ug/m3,Daily average
January,2011,28,PM2.5,San Rafael,36,ug/m3,Daily average
January,2011,29,PM2.5,San Rafael,24,ug/m3,Daily average
January,2011,30,PM2.5,San Rafael,13,ug/m3,Daily average
January,2011,31,PM2.5,San Rafael,22,ug/m3,Daily average
February,2011,1,PM2.5,San Rafael,17,ug/m3,Daily average
February,2011,2,PM2.5,San Rafael,19,ug/m3,Daily average
February,2011,3,PM2.5,San Rafael,19,ug/m3,Daily average
February,2011,4,PM2.5,San Rafael,26,ug/m3,Daily average
February,2011,5,PM2.5,San Rafael,20,ug/m3,Daily average
February,2011,6,PM2.5,San Rafael,16,ug/m3,Daily average
February,2011,7,PM2.5,San Rafael,32,ug/m3,Daily average
February,2011,8,PM2.5,San Rafael,20,ug/m3,Daily average
February,2011,9,PM2.5,San Rafael,19,ug/m3,Daily average
February,2011,10,PM2.5,San Rafael,25,ug/m3,Daily average
February,2011,11,PM2.5,San Rafael,27,ug/m3,Daily average
February,2011,12,PM2.5,San Rafael,37,ug/m3,Daily average
February,2011,13,PM2.5,San Rafael,31,ug/m3,Daily average
February,2011,14,PM2.5,San Rafael,12,ug/m3,Daily average
February,2011,15,PM2.5,San Rafael,12,ug/m3,Daily average
February,2011,16,PM2.5,San Rafael,13,ug/m3,Daily average
February,2011,17,PM2.5,San Rafael,14,ug/m3,Daily average
February,2011,18,PM2.5,San Rafael,38,ug/m3,Daily average
February,2011,19,PM2.5,San Rafael,23,ug/m3,Daily average
February,2011,20,PM2.5,San Rafael,19,ug/m3,Daily average
February,2011,21,PM2.5,San Rafael,27,ug/m3,Daily average
February,2011,22,PM2.5,San Rafael,19,ug/m3,Daily average
February,2011,23,PM2.5,San Rafael,21,ug/m3,Daily average
February,2011,24,PM2.5,San Rafael,14,ug/m3,Daily average
February,2011,25,PM2.5,San Rafael,15,ug/m3,Daily average
February,2011,26,PM2.5,San Rafael,20,ug/m3,Daily average
February,2011,27,PM2.5,San Rafael,23,ug/m3,Daily average
February,2011,28,PM2.5,San Rafael,17,ug/m3,Daily average
February,2011,29,PM2.5,San Rafael,,ug/m3,Daily average
March,2011,1,PM2.5,San Rafael,19,ug/m3,Daily average
March,2011,2,PM2.5,San Rafael,18,ug/m3,Daily average
March,2011,3,PM2.5,San Rafael,12,ug/m3,Daily average
March,2011,4,PM2.5,San Rafael,20,ug/m3,Daily average
March,2011,5,PM2.5,San Rafael,21,ug/m3,Daily average
March,2011,6,PM2.5,San Rafael,12,ug/m3,Daily average
