Year,Month,Day,Pollutant,Station,Concentration,Units,AveragingPeriod
April,2013,13,PM2.5,San Rafael,26,ug/m3,Daily average
April,2013,14,PM2.5,San Rafael,16,ug/m3,Daily average
April,2013,15,PM2.5,San Rafael,17,ug/m3,Daily average
April,2013,16,PM2.5,San Rafael,23,ug/m3,Daily average
April,2013,17,PM2.5,San Rafael,19,ug/m3,Daily average
April,2013,18,PM2.5,San Rafael,17,ug/m3,Daily average
April,2013,19,PM2.5,San Rafael,26,ug/m3,Daily average
April,2013,20,PM2.5,San Rafael,19,ug/m3,Daily average
April,2013,21,PM2.5,San Rafael,17,ug/m3,Daily average
April,2013,22,PM2.5,San Rafael,19,ug/m3,Daily average
April,2013,23,PM2.5,San Rafael,11,ug/m3,Daily average
April,2013,24,PM2.5,San Rafael,12,ug/m3,Daily average
April,2013,25,PM2.5,San Rafael,23,ug/m3,Daily average
April,2013,26,PM2.5,San Rafael,16,ug/m3,Daily average
April,2013,27,PM2.5,San Rafael,12,ug/m3,Daily average
April,2013,28,PM2.5,San Rafael,20,ug/m3,Daily average
April,2013,29,PM2.5,San Rafael,18,ug/m3,Daily average
April,2013,30,PM2.5,San Rafael,24,ug/m3,Daily average
May,2013,1,PM2.5,San Rafael,17,ug/m3,Daily average
May,2013,2,PM2.5,San Rafael,39,ug/m3,Daily average
May,2013,3,PM2.5,San Rafael,28,ug/m3,Daily average
May,2013,4,PM2.5,San Rafael,22,ug/m3,Daily average
May,2013,5,PM2.5,San Rafael,17,ug/m3,Daily average
May,2013,6,PM2.5,San Rafael,14,ug/m3,Daily average
May,2013,7,PM2.5,San Rafael,19,ug/m3,Daily average
May,2013,8,PM2.5,San Rafael,15,ug/m3,Daily average
May,2013,9,PM2.5,San Rafael,24,ug/m3,Daily average
May,2013,10,PM2.5,San Rafael,17,ug/m3,Daily average
May,2013,11,PM2.5,San Rafael,25,ug/m3,Daily average
May,2013,12,PM2.5,San Rafael,19,ug/m3,Daily average
May,2013,13,PM2.5,San Rafael,13,ug/m3,Daily average
May,2013,14,PM2.5,San Rafael,19,ug/m3,Daily average
May,2013,15,PM2.5,San Rafael,16,ug/m3,Daily average
May,2013,16,PM2.5,San Rafael,15,ug/m3,Daily average
May,2013,17,PM2.5,San Rafael,15,ug/m3,Daily average
May,2013,18,PM2.5,San Rafael,15,ug/m3,Daily average
May,2013,19,PM2.5,San Rafael,24,ug/m3,Daily average
May,2013,20,PM2.5,San Rafael,32,ug/m3,Daily average
May,2013,21,PM2.5,San Rafael,16,ug/m3,Daily average
May,2013,22,PM2.5,San Rafael,17,ug/m3,Daily average
May,2013,23,PM2.5,San Rafael,24,ug/m3,Daily average
May,2013,24,PM2.5,San Rafael,22,ug/m3,Daily average
May,2013,25,PM2.5,San Rafael,15,ug/m3,Daily average
May,2013,26,PM2.5,San Rafael,12,ug/m3,Daily average
May,2013,27,PM2.5,San Rafael,10,ug/m3,Daily average
May,2013,28,PM2.5,San Rafael,21,ug/m3,Daily average
May,2013,29,PM2.5,San Rafael,17,ug/m3,Daily average
May,2013,30,PM2.5,San Rafael,17,ug/m3,Daily average
May,2013,31,PM2.5,San Rafael,22,ug/m3,Daily average
June,2013,1,PM2.5,San Rafael,35,ug/m3,Daily average
June,2013,2,PM2.5,San Rafael,15,ug/m3,Daily average
June,2013,3,PM2.5,San Rafael,22,ug/m3,Daily average
June,2013,4,PM2.5,San Rafael,10,ug/m3,Daily average
June,2013,5,PM2.5,San Rafael,13,ug/m3,Daily average
June,2013,6,PM2.5,San Rafael,8,ug/m3,Daily average
June,2013,7,PM2.5,San Rafael,14,ug/m3,Daily average
June,2013,8,PM2.5,San Rafael,11,ug/m3,Daily average
June,2013,9,PM2.5,San Rafael,5,ug/m3,Daily average
June,2013,10,PM2.5,San Rafael,14,ug/m3,Daily average
June,2013,11,PM2.5,San Rafael,13,ug/m3,Daily average
June,2013,12,PM2.5,San Rafael,24,ug/m3,Daily average
June,2013,13,PM2.5,San Rafael,20,ug/m3,Daily average
June,2013,14,PM2.5,San Rafael,18,ug/m3,Daily average
June,2013,15,PM2.5,San Rafael,16,ug/m3,Daily average
June,2013,16,PM2.5,San Rafael,16,ug/m3,Daily average
June,2013,17,PM2.5,San Rafael,7,ug/m3,Daily average
June,2013,18,PM2.5,San Rafael,,ug/m3,Daily average
June,2013,19,PM2.5,San Rafael,,ug/m3,Daily average
June,2013,20,PM2.5,San Rafael,,ug/m3,Daily average
June,2013,21,PM2.5,San Rafael,,ug/m3,Daily average
June,2013,22,PM2.5,San Rafael,,ug/m3,Daily average
June,2013,23,PM2.5,San Rafael,,ug/m3,Daily average
June,2013,24,PM2.5,San Rafael,6,ug/m3,Daily average
June,2013,25,PM2.5,San Rafael,4,ug/m3,Daily average
June,2013,26,PM2.5,San Rafael,7,ug/m3,Daily average
June,2013,27,PM2.5,San Rafael,15,ug/m3,Daily average
June,2013,28,PM2.5,San Rafael,11,ug/m3,Daily average
June,2013,29,PM2.5,San Rafael,18,ug/m3,Daily average
June,2013,30,PM2.5,San Rafael,14,ug/m3,Daily average
July,2013,1,PM2.5,San Rafael,11,ug/m3,Daily average
July,2013,2,PM2.5,San Rafael,10,ug/m3,Daily average
July,2013,3,PM2.5,San Rafael,8,ug/m3,Daily average
July,2013,4,PM2.5,San Rafael,23,ug/m3,Daily average
July,2013,5,PM2.5,San Rafael,24,ug/m3,Daily average
July,2013,6,PM2.5,San Rafael,17,ug/m3,Daily average
July,2013,7,PM2.5,San Rafael,12,ug/m3,Daily average
July,2013,8,PM2.5,San Rafael,14,ug/m3,Daily average
July,2013,9,PM2.5,San Rafael,17,ug/m3,Daily average
July,2013,10,PM2.5,San Rafael,10,ug/m3,Daily average
July,2013,11,PM2.5,San Rafael,18,ug/m3,Daily average
July,2013,12,PM2.5,San Rafael,17,ug/m3,Daily average
July,2013,13,PM2.5,San Rafael,25,ug/m3,Daily average
July,2013,14,PM2.5,San Rafael,23,ug/m3,Daily average
July,2013,15,PM2.5,San Rafael,17,ug/m3,Daily average
July,2013,16,PM2.5,San Rafael,10,ug/m3,Daily average
July,2013,17,PM2.5,San Rafael,15,ug/m3,Daily average
July,2013,18,PM2.5,San Rafael,22,ug/m3,Daily average
July,2013,19,PM2.5,San Rafael,24,ug/m3,Daily average
July,2013,20,PM2.5,San Rafael,16,ug/m3,Daily average
July,2013,21,PM2.5,San Rafael,12,ug/m3,Daily average
July,2013,22,PM2.5,San Rafael,16,ug/m3,Daily average
July,2013,23,PM2.5,San Rafael,18,ug/m3,Daily average
July,2013,24,PM2.5,San Rafael,12,ug/m3,Daily average
July,2013,25,PM2.5,San Rafael,10,ug/m3,Daily average
July,2013,26,PM2.5,San Rafael,11,ug/m3,Daily average
July,2013,27,PM2.5,San Rafael,15,ug/m3,Daily average
July,2013,28,PM2.5,San Rafael,28,ug/m3,Daily average
July,2013,29,PM2.5,San Rafael,28,ug/m3,Daily average
July,2013,30,PM2.5,San Rafael,39,ug/m3,Daily average
July,2013,31,PM2.5,San Rafael,18,ug/m3,Daily average
August,2013,1,PM2.5,San Rafael,19,ug/m3,Daily average
August,2013,2,PM2.5,San Rafael,21,ug/m3,Daily average
August,2013,3,PM2.5,San Rafael,16,ug/m3,Daily average
August,2013,4,PM2.5,San Rafael,15,ug/m3,Daily average
August,2013,5,PM2.5,San Rafael,15,ug/m3,Daily average
August,2013,6,PM2.5,San Rafael,10,ug/m3,Daily average
August,2013,7,PM2.5,San Rafael,8,ug/m3,Daily average
August,2013,8,PM2.5,San Rafael,11,ug/m3,Daily average
August,2013,9,PM2.5,San Rafael,13,ug/m3,Daily average
August,2013,10,PM2.5,San Rafael,13,ug/m3,Daily average
August,2013,11,PM2.5,San Rafael,12,ug/m3,Daily average
August,2013,12,PM2.5,San Rafael,19,ug/m3,Daily average
August,2013,13,PM2.5,San Rafael,25,ug/m3,Daily average
August,2013,14,PM2.5,San Rafael,16,ug/m3,Daily average
August,2013,15,PM2.5,San Rafael,17,ug/m3,Daily average
August,2013,16,PM2.5,San Rafael,14,ug/m3,Daily average
August,2013,17,PM2.5,San Rafael,22,ug/m3,Daily average
August,2013,18,PM2.5,San Rafael,18,ug/m3,Daily average
August,2013,19,PM2.5,San Rafael,18,ug/m3,Daily average
August,2013,20,PM2.5,San Rafael,15,ug/m3,Daily average
August,2013,21,PM2.5,San Rafael,21,ug/m3,Daily average
August,2013,22,PM2.5,San Rafael,22,ug/m3,Daily average
August,2013,23,PM2.5,San Rafael,19,ug/m3,Daily average
August,2013,24,PM2.5,San Rafael,23,ug/m3,Daily average
August,2013,25,PM2.5,San Rafael,12,ug/m3,Daily average
August,2013,26,PM2.5,San Rafael,20,ug/m3,Daily average
August,2013,27,PM2.5,San Rafael,20,ug/m3,Daily average
August,2013,28,PM2.5,San Rafael,15,ug/m3,Daily average
August,2013,29,PM2.5,San Rafael,15,ug/m3,Daily average
August,2013,30,PM2.5,San Rafael,18,ug/m3,Daily average
August,2013,31,PM2.5,San Rafael,24,ug/m3,Daily average
September,2013,1,PM2.5,San Rafael,30,ug/m3,Daily average
September,2013,2,PM2.5,San Rafael,14,ug/m3,Daily average
September,2013,3,PM2.5,San Rafael,20,ug/m3,Daily average
September,2013,4,PM2.5,San Rafael,26,ug/m3,Daily average
September,2013,5,PM2.5,San Rafael,22,ug/m3,Daily average
September,2013,6,PM2.5,San Rafael,23,ug/m3,Daily average
September,2013,7,PM2.5,San Rafael,31,ug/m3,Daily average
September,2013,8,PM2.5,San Rafael,21,ug/m3,Daily average
September,2013,9,PM2.5,San Rafael,13,ug/m3,Daily average
September,2013,10,PM2.5,San Rafael,13,ug/m3,Daily average
September,2013,11,PM2.5,San Rafael,27,ug/m3,Daily average
September,2013,12,PM2.5,San Rafael,17,ug/m3,Daily average
September,2013,13,PM2.5,San Rafael,27,ug/m3,Daily average
September,2013,14,PM2.5,San Rafael,19,ug/m3,Daily average
September,2013,15,PM2.5,San Rafael,21,ug/m3,Daily average
September,2013,16,PM2.5,San Rafael,23,ug/m3,Daily average
September,2013,17,PM2.5,San Rafael,23,ug/m3,Daily average
September,2013,18,PM2.5,San Rafael,26,ug/m3,Daily average
September,2013,19,PM2.5,San Rafael,33,ug/m3,Daily average
September,2013,20,PM2.5,San Rafael,15,ug/m3,Daily average
September,2013,21,PM2.5,San Rafael,15,ug/m3,Daily average
September,2013,22,PM2.5,San Rafael,18,ug/m3,Daily average
September,2013,23,PM2.5,San Rafael,23,ug/m3,Daily average
September,2013,24,PM2.5,San Rafael,23,ug/m3,Daily average
September,2013,25,PM2.5,San Rafael,25,ug/m3,Daily average
September,2013,26,PM2.5,San Rafael,28,ug/m3,Daily average
September,2013,27,PM2.5,San Rafael,26,ug/m3,Daily average
September,2013,28,PM2.5,San Rafael,27,ug/m3,Daily average
September,2013,29,PM2.5,San Rafael,26,ug/m3,Daily average
September,2013,30,PM2.5,San Rafael,14,ug/m3,Daily average
October,2013,1,PM2.5,San Rafael,25,ug/m3,Daily average
October,2013,2,PM2.5,San Rafael,33,ug/m3,Daily average
October,2013,3,PM2.5,San Rafael,20,ug/m3,Daily average
October,2013,4,PM2.5,San Rafael,14,ug/m3,Daily average
October,2013,5,PM2.5,San Rafael,15,ug/m3,Daily average
October,2013,6,PM2.5,San Rafael,18,ug/m3,Daily average
October,2013,7,PM2.5,San Rafael,22,ug/m3,Daily average
October,2013,8,PM2.5,San Rafael,27,ug/m3,Daily average
October,2013,9,PM2.5,San Rafael,29,ug/m3,Daily average
October,2013,10,PM2.5,San Rafael,35,ug/m3,Daily average
October,2013,11,PM2.5,San Rafael,30,ug/m3,Daily average
October,2013,12,PM2.5,San Rafael,25,ug/m3,Daily average
October,2013,13,PM2.5,San Rafael,24,ug/m3,Daily average
October,2013,14,PM2.5,San Rafael,27,ug/m3,Daily average
October,2013,15,PM2.5,San Rafael,17,ug/m3,Daily average
October,2013,16,PM2.5,San Rafael,207,ug/m3,Daily average
October,2013,17,PM2.5,San Rafael,24,ug/m3,Daily average
October,2013,18,PM2.5,San Rafael,26,ug/m3,Daily average
October,2013,19,PM2.5,San Rafael,28,ug/m3,Daily average
October,2013,20,PM2.5,San Rafael,22,ug/m3,Daily average
October,2013,21,PM2.5,San Rafael,16,ug/m3,Daily average
October,2013,22,PM2.5,San Rafael,35,ug/m3,Daily average
October,2013,23,PM2.5,San Rafael,18,ug/m3,Daily average
October,2013,24,PM2.5,San Rafael,20,ug/m3,Daily average
October,2013,25,PM2.5,San Rafael,16,ug/m3,Daily average
October,2013,26,PM2.5,San Rafael,21,ug/m3,Daily average
October,2013,27,PM2.5,San Rafael,25,ug/m3,Daily average
October,2013,28,PM2.5,San Rafael,16,ug/m3,Daily average
October,2013,29,PM2.5,San Rafael,13,ug/m3,Daily average
October,2013,30,PM2.5,San Rafael,44,ug/m3,Daily average
October,2013,31,PM2.5,San Rafael,18,ug/m3,Daily average
November,2013,1,PM2.5,San Rafael,20,ug/m3,Daily average
November,2013,2,PM2.5,San Rafael,25,ug/m3,Daily average
November,2013,3,PM2.5,San Rafael,27,ug/m3,Daily average
November,2013,4,PM2.5,San Rafael,10,ug/m3,Daily average
November,2013,5,PM2.5,San Rafael,14,ug/m3,Daily average
November,2013,6,PM2.5,San Rafael,31,ug/m3,Daily average
November,2013,7,PM2.5,San Rafael,21,ug/m3,Daily average
November,2013,8,PM2.5,San Rafael,21,ug/m3,Daily average
November,2013,9,PM2.5,San Rafael,24,ug/m3,Daily average
November,2013,10,PM2.5,San Rafael,23,ug/m3,Daily average
November,2013,11,PM2.5,San Rafael,29,ug/m3,Daily average
November,2013,12,PM2.5,San Rafael,21,ug/m3,Daily average
November,2013,13,PM2.5,San Rafael,16,ug/m3,Daily average
November,2013,14,PM2.5,San Rafael,20,ug/m3,Daily average
November,2013,15,PM2.5,San Rafael,26,ug/m3,Daily average
November,2013,16,PM2.5,San Rafael,18,ug/m3,Daily average
November,2013,17,PM2.5,San Rafael,24,ug/m3,Daily average
November,2013,18,PM2.5,San Rafael,14,ug/m3,Daily average
November,2013,19,PM2.5,San Rafael,13,ug/m3,Daily average
November,2013,20,PM2.5,San Rafael,13,ug/m3,Daily average
November,2013,21,PM2.5,San Rafael,19,ug/m3,Daily average
November,2013,22,PM2.5,San Rafael,16,ug/m3,Daily average
November,2013,23,PM2.5,San Rafael,19,ug/m3,Daily average
November,2013,24,PM2.5,San Rafael,26,ug/m3,Daily average
November,2013,25,PM2.5,San Rafael,25,ug/m3,Daily average
November,2013,26,PM2.5,San Rafael,27,ug/m3,Daily average
November,2013,27,PM2.5,San Rafael,35,ug/m3,Daily average
November,2013,28,PM2.5,San Rafael,22,ug/m3,Daily average
November,2013,29,PM2.5,San Rafael,21,ug/m3,Daily average
November,2013,30,PM2.5,San Rafael,24,ug/m3,Daily average
December,2013,1,PM2.5,San Rafael,22,ug/m3,Daily average
December,2013,2,PM2.5,San Rafael,17,ug/m3,Daily average
December,2013,3,PM2.5,San Rafael,16,ug/m3,Daily average
December,2013,4,PM2.5,San Rafael,26,ug/m3,Daily average
December,2013,5,PM2.5,San Rafael,21,ug/m3,Daily average
December,2013,6,PM2.5,San Rafael,16,ug/m3,Daily average
December,2013,7,PM2.5,San Rafael,25,ug/m3,Daily average
December,2013,8,PM2.5,San Rafael,24,ug/m3,Daily average
December,2013,9,PM2.5,San Rafael,20,ug/m3,Daily average
December,2013,10,PM2.5,San Rafael,21,ug/m3,Daily average
December,2013,11,PM2.5,San Rafael,29,ug/m3,Daily average
December,2013,12,PM2.5,San Rafael,29,ug/m3,Daily average
December,2013,13,PM2.5,San Rafael,21,ug/m3,Daily average
December,2013,14,PM2.5,San Rafael,34,ug/m3,Daily average
December,2013,15,PM2.5,San Rafael,34,ug/m3,Daily average
December,2013,16,PM2.5,San Rafael,33,ug/m3,Daily average
December,2013,17,PM2.5,San Rafael,76,ug/m3,Daily average
December,2013,18,PM2.5,San Rafael,28,ug/m3,Daily average
December,2013,19,PM2.5,San Rafael,17,ug/m3,Daily average
December,2013,20,PM2.5,San Rafael,40,ug/m3,Daily average
December,2013,21,PM2.5,San Rafael,26,ug/m3,Daily average
December,2013,22,PM2.5,San Rafael,36,ug/m3,Daily average
December,2013,23,PM2.5,San Rafael,41,ug/m3,Daily average
December,2013,24,PM2.5,San Rafael,43,ug/m3,Daily average
December,2013,25,PM2.5,San Rafael,42,ug/m3,Daily average
December,2013,26,PM2.5,San Rafael,37,ug/m3,Daily average
December,2013,27,PM2.5,San Rafael,36,ug/m3,Daily average
December,2013,28,PM2.5,San Rafael,25,ug/m3,Daily average
December,2013,29,PM2.5,San Rafael,31,ug/m3,Daily average
December,2013,30,PM2.5,San Rafael,65,ug/m3,Daily average
December,2013,31,PM2.5,San Rafael,41,ug/m3,Daily average
January,2014,1,PM2.5,San Rafael,31,ug/m3,Daily average
January,2014,2,PM2.5,San Rafael,33,ug/m3,Daily average
January,2014,3,PM2.5,San Rafael,33,ug/m3,Daily average
January,2014,4,PM2.5,San Rafael,32,ug/m3,Daily average
January,2014,5,PM2.5,San Rafael,28,ug/m3,Daily average
January,2014,6,PM2.5,San Rafael,37,ug/m3,Daily average
January,2014,7,PM2.5,San Rafael,38,ug/m3,Daily average
January,2014,8,PM2.5,San Rafael,15,ug/m3,Daily average
January,2014,9,PM2.5,San Rafael,21,ug/m3,Daily average
January,2014,10,PM2.5,San Rafael,21,ug/m3,Daily average
January,2014,11,PM2.5,San Rafael,42,ug/m3,Daily average
January,2014,12,PM2.5,San Rafael,20,ug/m3,Daily average
January,2014,13,PM2.5,San Rafael,18,ug/m3,Daily average
January,2014,14,PM2.5,San Rafael,22,ug/m3,Daily average
January,2014,15,PM2.5,San Rafael,32,ug/m3,Daily average
January,2014,16,PM2.5,San Rafael,41,ug/m3,Daily average
January,2014,17,PM2.5,San Rafael,56,ug/m3,Daily average
January,2014,18,PM2.5,San Rafael,29,ug/m3,Daily average
January,2014,19,PM2.5,San Rafael,30,ug/m3,Daily average
January,2014,20,PM2.5,San Rafael,18,ug/m3,Daily average
January,2014,21,PM2.5,San Rafael,25,ug/m3,Daily average
January,2014,22,PM2.5,San Rafael,25,ug/m3,Daily average
January,2014,23,PM2.5,San Rafael,52,ug/m3,Daily average
January,2014,24,PM2.5,San Rafael,56,ug/m3,Daily average
January,2014,25,PM2.5,San Rafael,26,ug/m3,Daily average
January,2014,26,PM2.5,San Rafael,29,ug/m3,Daily average
January,2014,27,PM2.5,San Rafael,19,ug/m3,Daily average
January,2014,28,PM2.5,San Rafael,18,ug/m3,Daily average
January,2014,29,PM2.5,San Rafael,19,ug/m3,Daily average
January,2014,30,PM2.5,San Rafael,16,ug/m3,Daily average
January,2014,31,PM2.5,San Rafael,26,ug/m3,Daily average
February,2014,1,PM2.5,San Rafael,15,ug/m3,Daily average
February,2014,2,PM2.5,San Rafael,18,ug/m3,Daily average
February,2014,3,PM2.5,San Rafael,20,ug/m3,Daily average
February,2014,4,PM2.5,San Rafael,20,ug/m3,Daily average
February,2014,5,PM2.5,San Rafael,14,ug/m3,Daily average
February,2014,6,PM2.5,San Rafael,26,ug/m3,Daily average
February,2014,7,PM2.5,San Rafael,14,ug/m3,Daily average
February,2014,8,PM2.5,San Rafael,10,ug/m3,Daily average
February,2014,9,PM2.5,San Rafael,10,ug/m3,Daily average
February,2014,10,PM2.5,San Rafael,19,ug/m3,Daily average
February,2014,11,PM2.5,San Rafael,23,ug/m3,Daily average
February,2014,12,PM2.5,San Rafael,18,ug/m3,Daily average
February,2014,13,PM2.5,San Rafael,22,ug/m3,Daily average
February,2014,14,PM2.5,San Rafael,14,ug/m3,Daily average
February,2014,15,PM2.5,San Rafael,14,ug/m3,Daily average
February,2014,16,PM2.5,San Rafael,20,ug/m3,Daily average
February,2014,17,PM2.5,San Rafael,17,ug/m3,Daily average
February,2014,18,PM2.5,San Rafael,23,ug/m3,Daily average
February,2014,19,PM2.5,San Rafael,18,ug/m3,Daily average
February,2014,20,PM2.5,San Rafael,18,ug/m3,Daily average
February,2014,21,PM2.5,San Rafael,18,ug/m3,Daily average
February,2014,22,PM2.5,San Rafael,19,ug/m3,Daily average
February,2014,23,PM2.5,San Rafael,20,ug/m3,Daily average
February,2014,24,PM2.5,San Rafael,22,ug/m3,Daily average
