Year,Month,Day,Pollutant,Station,Concentration,Units,AveragingPeriod
February,2014,25,PM2.5,San Rafael,20,ug/m3,Daily average
February,2014,26,PM2.5,San Rafael,17,ug/m3,Daily average
February,2014,27,PM2.5,San Rafael,20,ug/m3,Daily average
February,2014,28,PM2.5,San Rafael,11,ug/m3,Daily average
March,2014,1,PM2.5,San Rafael,14,ug/m3,Daily average
March,2014,2,PM2.5,San Rafael,13,ug/m3,Daily average
March,2014,3,PM2.5,San Rafael,15,ug/m3,Daily average
March,2014,4,PM2.5,San Rafael,23,ug/m3,Daily average
March,2014,5,PM2.5,San Rafael,21,ug/m3,Daily average
March,2014,6,PM2.5,San Rafael,30,ug/m3,Daily average
March,2014,7,PM2.5,San Rafael,23,ug/m3,Daily average
